Authors,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Correspondence Address,Publisher,ISSN,ISBN,CODEN,Document Type,Source,EID
"Mekala S., Thanagaraj M., Chandranath M., Kumaran K.K.V.","57195422787;57195418974;57195418808;57212950845;","An intelligence super mart billling system",2017,"International Journal on Smart Sensing and Intelligent Systems",1,"10.21307/ijssis-2017-260","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027964598&doi=10.21307%2fijssis-2017-260&partnerID=40&md5=26ca59690f1923a556ecc29bca4ffe5e","Faculty of Electronics and Communication Department, VEL TECH, Chennai, India","Mekala, S., Faculty of Electronics and Communication Department, VEL TECH, Chennai, India; Thanagaraj, M., Faculty of Electronics and Communication Department, VEL TECH, Chennai, India; Chandranath, M., Faculty of Electronics and Communication Department, VEL TECH, Chennai, India; Kumaran, K.K.V., Faculty of Electronics and Communication Department, VEL TECH, Chennai, India","Currently embedded systems be mainly based on microcontroller's i.e. CPUs in the company of included reminiscence the same as well as tangential interface except ordinary microprocessors by means of external chips for memory and peripheral interface circuits are common, especially in technology may not only be useful for streamlining category and supply chains. Nowadays it is rare to see people getting keen in online shopping through e-commerce websites but still the shopping centers are popular. We come across many types of carts used for shopping in malls and shopping center. The major purpose of this effort is reducing delays in foremost supermarkets or shopping center via income of an electronic smart cart method which will introduce an cognitive approach to billing system during RFID technology. Zigbee is base scheduled an IEEE 802.15 ordinary. Zigbee devices a group of pass on data more than longer space by transient data through transitional devices to make more distances ones, create a interconnect network. Purchasing product during a RFID reader going on shopping cart, suggest while product information resolve be stored into EEPROM close to it and EEPROM data spirit send in the direction of central billing system throughout Zigbee module. The anticipated method will survive helpful for avoiding queues in shopping malls for billing. Hence the shopping becomes easy and enjoyable.","Product Identification Device EEPROM; RFID Reader; RFID Tag; Smart Shopping",,,"Thanagaraj, M.; Faculty of Electronics and Communication Department, India; email: rajan0306@gmail.com","Massey University",11785608,,,Article,Scopus,2-s2.0-85027964598
"Honarmand M.-E., Ghazizadeh M.-S., Kermanshah A., Haghifam M.-R.","56102534100;35408931000;56317186700;6603228915;","Visibility of electric distribution utility performance to manage loss and reliability indices",2017,"Journal of Electrical Engineering and Technology",3,"10.5370/JEET.2017.12.5.1764","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027587818&doi=10.5370%2fJEET.2017.12.5.1764&partnerID=40&md5=5d061690570705bbbd7f25fdcc9681f5","Dept. of Electrical Engineering, Shaid Abbaspour pardis, Shahid Beheshti University, Tehran, Iran; Faculty of Management and Economics, Sharif University, Tehran, Iran; Dept. of Electrical and Computer Engineering, Tarbiat Modares University, Tehran, Iran","Honarmand, M.-E., Dept. of Electrical Engineering, Shaid Abbaspour pardis, Shahid Beheshti University, Tehran, Iran; Ghazizadeh, M.-S., Dept. of Electrical Engineering, Shaid Abbaspour pardis, Shahid Beheshti University, Tehran, Iran; Kermanshah, A., Faculty of Management and Economics, Sharif University, Tehran, Iran; Haghifam, M.-R., Dept. of Electrical and Computer Engineering, Tarbiat Modares University, Tehran, Iran","To achieve economic stability, distribution Company as an economic institution should be managed by various processes. In this way, knowledge of different processes is the first step. Furthermore, expectations, outputs, requirement data, and sub-processes should be extracted and determined. Accordingly, to assign the performance responsibility of each process, the decision making points must be introduced and, the deviation or change in set-points should be investigated into processes. Also, the performance of processes could be monitored by introducing of the sub-indictors. In this study, a practical method is presented for monitoring of reliability and power loss indices from viewpoint components’ supply chain into the distribution network. At first, the visibility model of the supply chain is illustrated by focus group and the sub-indicators are extracted for each process of this chain. Then, validation and verification of the sub-indicators are accomplished by the Delphi method and, an information dashboard is presented by confirmed the sub-indicators and statistics methods. Finally, the proposed method is investigated by real data in a typical network and the results are analyzed. © The Korean Institute of Electrical Engineers.","Delphi method; Distribution system performance; Power loss; Reliability; Statistical method; Visibility model","Decision making; Electric power distribution; Reliability; Statistical methods; Supply chains; Visibility; Delphi method; Distribution companies; Distribution systems; Distribution utilities; Economic institutions; Economic stability; Power-losses; Validation and verification; Electric losses",,"Honarmand, M.-E.; Dept. of Electrical Engineering, Iran; email: m_e_honar@yahoo.com","Korean Institute of Electrical Engineers",19750102,,,Article,Scopus,2-s2.0-85027587818
"Costa-Salas Y., Sarache W., Überwimmer M.","57202489219;36135952500;57195360825;","Fleet size optimization in the discarded tire collection process",2017,"Research in Transportation Business and Management",12,"10.1016/j.rtbm.2017.08.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027456150&doi=10.1016%2fj.rtbm.2017.08.001&partnerID=40&md5=b5dcd34d1435abcbc5c46ba923e3f285","Universidad Nacional de Colombia, Departamento de Ingeniería Industrial, Campus La Nubia. Cra. 27 No. 64-60, Manizales, Caldas, Colombia; University of Applied Sciences Upper Austria, Campus Steyr, Colombia; Universidad de Manizales, Colombia","Costa-Salas, Y., University of Applied Sciences Upper Austria, Campus Steyr, Colombia, Universidad de Manizales, Colombia; Sarache, W., Universidad Nacional de Colombia, Departamento de Ingeniería Industrial, Campus La Nubia. Cra. 27 No. 64-60, Manizales, Caldas, Colombia; Überwimmer, M., University of Applied Sciences Upper Austria, Campus Steyr, Colombia","Due to rapid growth in urban populations, waste collection in cities has become a topic of great concern, due to it impacts on environmental pollution. Regarding used tires, the effect on human health and the environment is a matter of great concern for urban authorities. Therefore, in this paper, we analyze the recovery process for discarded tires. In particular, we study a Reverse Supply Chain Network Design (RSCND), which is designed according to three fundamental echelons (i.e. waste collection, processing and customer zones). To this end, the simultaneous application of simulation techniques and optimization algorithms is proposed. Both approaches are framed within a general methodology, which has been taken from the Operations Research literature. We present a case study from a Colombian city. The combined algorithmic approaches, which include discrete simulation and multiobjective optimization, provide sufficient evidence regarding ways to optimally manage fleet size in the RSCND. Experimental results indicate that the discarded tire recovery process can be designed to be more profitable, as well as less environmentally harmful. © 2017 Elsevier Ltd","City logistics; Discarded tires; Discrete simulation; Fleet size optimization; Reverse logistics",,,"Sarache, W.; Universidad Nacional de Colombia, Campus La Nubia. Cra. 27 No. 64-60, Colombia; email: wasarachec@unal.edu.co","Elsevier Ltd",22105395,,,Article,Scopus,2-s2.0-85027456150
"Hauf F.","57126222500;","Paradoxes of Transnational Labour Rights Campaigns: The Case of Play Fair in Indonesia",2017,"Development and Change",5,"10.1111/dech.12321","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026664752&doi=10.1111%2fdech.12321&partnerID=40&md5=642dfdd68c9f9081458f70a352688972","Department of Political Science, Goethe University, Frankfurt, Germany","Hauf, F., Department of Political Science, Goethe University, Frankfurt, Germany","Neoliberal globalization has moved industrial production to low-wage countries such as China or Indonesia, fuelling rapid economic growth and rising national income. New employment opportunities, however, have been under-pinned by poverty wages and inhumane working conditions as states ‘race to the bottom’ in terms of labour rights and regulations in order to be competitive and attract capital investment. Labour agency at the bottom of transnational supply chains is often said to be structurally powerless because of the international mobility of capital. The ‘boomerang effect’ has often been presented as a remedy that increases local bargaining power in the global South by mobilizing consumer pressure in the global North through multi-stakeholder initiatives or transnational advocacy networks. The problem with this perspective is that it overstates the Northern dimension of this transnational politics and underestimates the local power base of Southern trade unions and labour movements. The incipient debate about Networks of Labour Activism (NOLA) aims to overcome this Northern bias. This article contributes to this debate by highlighting some of the limitations and unintended effects of multi-stakeholder initiatives and taking a closer look at the Play Fair alliance and the ‘Freedom of Association Protocol’ in Indonesia's athletic footwear industry. © 2017 International Institute of Social Studies",,"capital; employment; labor policy; poverty; stakeholder; trade union; wage; working conditions; China; Indonesia",,"Hauf, F.; Department of Political Science, Germany; email: hauf@soz.uni-frankfurt.de","Blackwell Publishing Ltd",0012155X,,,Article,Scopus,2-s2.0-85026664752
"Scheper C.","56541519000;","Labour Networks under Supply Chain Capitalism: The Politics of the Bangladesh Accord",2017,"Development and Change",29,"10.1111/dech.12328","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026348711&doi=10.1111%2fdech.12328&partnerID=40&md5=0d20c84b42695cc14a5abf79caa405a1","Institute for Development and Peace, Faculty of Social Sciences, University of Duisburg-Essen, Duisburg, Germany","Scheper, C., Institute for Development and Peace, Faculty of Social Sciences, University of Duisburg-Essen, Duisburg, Germany","The Bangladesh Accord on Fire and Building Safety is a transnational governance approach towards implementing factory safety standards in the Bangladeshi garment sector. Some commentators argue that the Accord is a ‘game changer’ in times of corporate social responsibility (CSR), especially because it includes transnational buying companies in a legally binding contract with union federations. This article takes the Accord as an interesting case for how labour networks become part of a transnational governance arrangement. Taking a cultural political economy perspective, the author assumes that the Accord marks a practice of implementing ethical demands under conditions of supply chain capitalism and argues that calling the Accord a paradigm shift would be overly optimistic: while labour networks were able to use a crisis in the regime of CSR policies, they could not challenge the managerial culture of translating political demands according to the conventions of supply chain management. These conventions separate the sources of profit from the political claim for decent labour standards. In a transnational governance initiative, labour networks rely on such management conventions, since they are constitutive of the production network. From this perspective the Accord is an impressive reaction to the Rana Plaza disaster, but not a game changer. © 2017 International Institute of Social Studies","Capitalism; Corporate Social Responsibility (CSR); Cultural; Governance; Labour; Southern Asia; Transnational","capitalism; corporate social responsibility; cultural economy; governance approach; labor standard; labor supply; political economy; supply chain management; Bangladesh",,"Scheper, C.; Institute for Development and Peace, Germany; email: cscheper@inef.uni-due.de","Blackwell Publishing Ltd",0012155X,,,Article,Scopus,2-s2.0-85026348711
"Pariazar M., Root S., Sir M.Y.","23974828100;25629795700;15842474400;","Supply chain design considering correlated failures and inspection in pharmaceutical and food supply chains",2017,"Computers and Industrial Engineering",13,"10.1016/j.cie.2017.07.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024476670&doi=10.1016%2fj.cie.2017.07.009&partnerID=40&md5=7d0384c8cd5f55c66badf428c1c40d68","American Airlines, Fort Worth, TX  76155, United States; Department of Industrial and Manufacturing Engineering, Pennsylvania State University, University Park, PA  16801, United States; Health Care Systems Engineering, Mayo Clinic, Rochester, MN  55905, United States","Pariazar, M., American Airlines, Fort Worth, TX  76155, United States; Root, S., Department of Industrial and Manufacturing Engineering, Pennsylvania State University, University Park, PA  16801, United States; Sir, M.Y., Health Care Systems Engineering, Mayo Clinic, Rochester, MN  55905, United States","This paper studies the impact of correlated supplier failures as well as inspection to detect these failures in the context of a supplier selection problem. A two-stage stochastic programming model is developed to explore the tradeoffs between costs and risk when designing a supply network. The first-stage decisions include the strategic decisions of determining which suppliers should be selected considering suppliers location and capacity while in the second stage, operational decisions related to transportation and inspection are determined. Several computational results are presented examining the effect of supplier correlation and inspection on supplier selection, transportation, and inspection strategies. A sensitivity analysis is also performed to explain the effect of key parameters on expected total cost and expected cost of shipped tainted materials. © 2017 Elsevier Ltd","Correlated failures; Disruption risks; Stochastic programming; Supplier inspection","Costs; Food supply; Inspection; Sensitivity analysis; Stochastic models; Stochastic programming; Stochastic systems; Supply chains; Computational results; Correlated failures; First stage decisions; Inspection strategy; Operational decisions; Strategic decisions; Supply chain design; Two-stage stochastic programming; Cost benefit analysis",,"Sir, M.Y.; Health Care Systems Engineering, United States; email: Sir.Mustafa@mayo.edu","Elsevier Ltd",03608352,,CINDD,Article,Scopus,2-s2.0-85024476670
"Badri H., Fatemi Ghomi S.M.T., Hejazi T.-H.","36124634800;6602817572;26664462300;","A two-stage stochastic programming approach for value-based closed-loop supply chain network design",2017,"Transportation Research Part E: Logistics and Transportation Review",46,"10.1016/j.tre.2017.06.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021803927&doi=10.1016%2fj.tre.2017.06.012&partnerID=40&md5=935ac89a4f85fe28d6b6ce00a1a2ccfd","Department of Industrial Engineering, Amirkabir University of Technology, Tehran, Iran; Department of Industrial Engineering, Amirkabir University of Technology, Garmsar Campus, Garmsar, Iran","Badri, H., Department of Industrial Engineering, Amirkabir University of Technology, Tehran, Iran; Fatemi Ghomi, S.M.T., Department of Industrial Engineering, Amirkabir University of Technology, Tehran, Iran; Hejazi, T.-H., Department of Industrial Engineering, Amirkabir University of Technology, Garmsar Campus, Garmsar, Iran","The ultimate goal for almost all companies in the current business world is to increase their value; therefore, managers concentrate their efforts on the control of value drivers. This research develops a two-stage stochastic programming model for the value-based supply chain network design, where all parts of a supply chain are configured and controlled in such a way that the total value of the company increases. The proposed model is a three-echelon, multi-commodity, and multi-period model for the tactical and strategic decision making. Also, a comprehensive computational analysis is conducted to evaluate the performance of the proposed approach. © 2017 Elsevier Ltd","Closed-loop supply chain network design; Two-stage stochastic programming; Value-based management","decision making; model test; network analysis; research work; stochasticity; strategic approach; supply chain management",,"Fatemi Ghomi, S.M.T.424 Hafez Avenue, Iran; email: fatemi@aut.ac.ir","Elsevier Ltd",13665545,,,Article,Scopus,2-s2.0-85021803927
"Bag S., Gupta S.","55757488200;55851943244;","Antecedents of Sustainable Innovation in Supplier Networks: A South African Experience",2017,"Global Journal of Flexible Systems Management",20,"10.1007/s40171-017-0158-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021775632&doi=10.1007%2fs40171-017-0158-4&partnerID=40&md5=7d01aeb4c69aa94799fe696c6560ec3b","Department of Supply Chain Management, Tega Industries South Africa Pty Ltd, Gauteng, South Africa; Department of Computer Science Engineering, South University of Science and Technology of China (SUSTC), Shenzhen, China","Bag, S., Department of Supply Chain Management, Tega Industries South Africa Pty Ltd, Gauteng, South Africa; Gupta, S., Department of Computer Science Engineering, South University of Science and Technology of China (SUSTC), Shenzhen, China","The investigation focused on exploring the key antecedents of sustainable innovation in supplier networks (SISN). Email survey was used to gather data from 120 steel and engineering firms located in Gauteng province of South Africa. After the data cleaning was performed, the exploratory factor analysis was applied to extract the relevant factors. Further, confirmatory factor analysis was used to test the construct reliability and validity. Finally, the conceptual model was tested by applying structural equation modelling technique. The current study has considered the influence of both external factors and internal factors on sustainable innovation in supplier networks which may be considered as a unique contribution to the existing literature. The research findings provide significant practical importance for supply chain managers and also provide future research directions for academic researchers. © 2017, Global Institute of Flexible Systems Management.","Confirmatory factor analysis (CFA); Exploratory factor analysis (EFA); Flexibility (FL); Institutional pressures (IP); Structural equation modelling (SEM); Sustainable innovation in supplier networks (SISN)",,,"Bag, S.; Department of Supply Chain Management, South Africa; email: surajit.bag@tegaindustries.co.za","Global Institute of Flexible Systems Management",09722696,,,Article,Scopus,2-s2.0-85021775632
"Ahi K., Rivera A., Mazadi A., Anwar M.","42260971900;52464386900;57194649651;7202759370;","Fabrication of robust nano-signatures for identification of authentic electronic components and counterfeit avoidance",2017,"International Journal of High Speed Electronics and Systems",5,"10.1142/S0129156417400067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021447264&doi=10.1142%2fS0129156417400067&partnerID=40&md5=740a07e6c8d9647774f011fec65c8f4f","Department of Electrical Engineering, University of Connecticut, Storrs, CT, United States","Ahi, K., Department of Electrical Engineering, University of Connecticut, Storrs, CT, United States; Rivera, A., Department of Electrical Engineering, University of Connecticut, Storrs, CT, United States; Mazadi, A., Department of Electrical Engineering, University of Connecticut, Storrs, CT, United States; Anwar, M., Department of Electrical Engineering, University of Connecticut, Storrs, CT, United States","In this paper, a novel approach for marking integrated circuit packages with authentication nanosignatures is introduced. In this work, the signatures patterns are fabricated using electron beam lithography. Moreover, the robustness of these signatures against aging and humidity is investigated. A recipe comprising image processing techniques and measurement of similarity indices has been developed. These signatures are proposed to be fabricated at the manufacturer side of the supply chain. Then, they are decoded at the consumer end. Thus, robustness against ambient environment and aging is a requirement for these signatures to survive in the global supply chain. Calculated Mean Square Error and Structural SIMilarity Index confirmed that the reflected patterns of the signatures remain unchanged against aging and humidity. © 2017 World Scientific Publishing Company.","counterfeit avoidance; electron beam lithography; engineered nanostructures; image processing SSIM","Crime; Electron beam lithography; Electron beams; Fabrication; Network components; Supply chains; Ambient environment; counterfeit avoidance; Electronic component; Global supply chain; Image processing technique; Integrated circuit package; Similarity indices; Structural similarity indices; Image processing",,"Ahi, K.; Department of Electrical Engineering, United States; email: kiarash.ahi@uconn.edu","World Scientific Publishing Co. Pte Ltd",01291564,,,Article,Scopus,2-s2.0-85021447264
"Beheshtian A., Donaghy K.P., Geddes R.R., Rouhani O.M.","57193252749;6701652575;7003837225;16242796900;","Planning resilient motor-fuel supply chain",2017,"International Journal of Disaster Risk Reduction",15,"10.1016/j.ijdrr.2017.06.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021422494&doi=10.1016%2fj.ijdrr.2017.06.021&partnerID=40&md5=ad282027780c23e134fb25e3fb632f7a","Department of City and Regional Planning and Cornell Program in Infrastructure Policy, Cornell University, W. Sibley Hall, 942 University Ave, Ithaca, NY  14850, United States; Department of City and Regional Planning, Cornell University, W. Sibley Hall, 942 University Ave, Ithaca, NY  14850, United States; Department of Policy Analysis and Management, Cornell University, 251 Martha Van Rensselaer Hall, Ithaca, NY  14853, United States; Department of Civil Engineering and Applied Mechanics, McGill University, 817 Sherbrooke Street West, Montreal, Quebec, Canada","Beheshtian, A., Department of City and Regional Planning and Cornell Program in Infrastructure Policy, Cornell University, W. Sibley Hall, 942 University Ave, Ithaca, NY  14850, United States; Donaghy, K.P., Department of City and Regional Planning, Cornell University, W. Sibley Hall, 942 University Ave, Ithaca, NY  14850, United States; Geddes, R.R., Department of Policy Analysis and Management, Cornell University, 251 Martha Van Rensselaer Hall, Ithaca, NY  14853, United States; Rouhani, O.M., Department of Civil Engineering and Applied Mechanics, McGill University, 817 Sherbrooke Street West, Montreal, Quebec, Canada","Two major extreme-weather events occurred in New York State between 2011 and 2012. Each with the odds of a 100-year occurrence suggesting that such extreme events are the region's “new normal.” City and state policy-makers, in response, are studying how to develop a network of robust, resilient critical infrastructure facilities. These studies, however, typically fail to address interdependencies among critical infrastructures and lack a quantitative tool to investigate the maximum resilience possessed by a given infrastructure facility in the face of climate-change-induced hazards. We propose a multi-stage stochastic mathematical program to maximize network resilience given: i) random arrival of extreme events; ii) the network's inherent capacity to withstand and cope with the aftermath of exogenous shocks; iii) pre-, during-, and post-event strategies available to enhance system operability; and iv) budgeting and technological restrictions facing policy-makers. Our approach allows both qualitative and quantitative paradigms to interact. Our model thus clarifies how to allocate resources proactively and how the network's absorptive, adaptive, and restorative capacities can be coordinated to enhance overall system resilience. Our findings suggest that an integrated planning approach combined with smart allocation of resources across a network's main elements creates a greater degree of resilience while utilizing less costly resilience-enhancing strategies. © 2017 Elsevier Ltd","Climate change-induced hazards; Climate-adaptive planning; Extreme events; Hurricane; Motor fuel supply-chain; Resilience planning",,,"Beheshtian, A.; Department of City and Regional Planning and Cornell Program in Infrastructure Policy, W. Sibley Hall, 942 University Ave, United States; email: ab2348@cornell.edu","Elsevier Ltd",22124209,,,Article,Scopus,2-s2.0-85021422494
"Saban K., Mawhinney J.R., Drake M.J.","23012650000;23012434300;23479603300;","An integrated approach to managing extended supply chain networks",2017,"Business Horizons",10,"10.1016/j.bushor.2017.05.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021347854&doi=10.1016%2fj.bushor.2017.05.012&partnerID=40&md5=7e41cedc16f4b1eb5c0f1d3346498680","Palumbo-Donahue School of Business, Duquesne University, 600 Forbes Avenue, Pittsburgh, PA  15282, United States","Saban, K., Palumbo-Donahue School of Business, Duquesne University, 600 Forbes Avenue, Pittsburgh, PA  15282, United States; Mawhinney, J.R., Palumbo-Donahue School of Business, Duquesne University, 600 Forbes Avenue, Pittsburgh, PA  15282, United States; Drake, M.J., Palumbo-Donahue School of Business, Duquesne University, 600 Forbes Avenue, Pittsburgh, PA  15282, United States","In an effort to improve their competitive position in a rapidly changing marketplace, many companies have replaced their traditional supply chains with extended supply chain networks built on a foundation of supply chain collaboration. These extended networks require the use of decision support tools and technologies to improve both operating efficiencies and customer service, but many companies have struggled to realize the expected benefits of these tools and the increased collaboration. This article recommends that companies adopt an integrated strategy of people, processes, and technology to achieve their competitive supply chain goals. Our recommendation is backed by the results of a survey we conducted of senior-level practitioners concerning the importance and challenges of supply chain collaboration. The article concludes with a set of managerial recommendations to improve a company's collaborative efforts within its supply chain. © 2017 Kelley School of Business, Indiana University","Buyer-seller relationships; Collaborative supply chain; Firm collaboration; Supply chain management; Supply chain network",,,"Drake, M.J.; Palumbo-Donahue School of Business, 600 Forbes Avenue, United States; email: drake987@duq.edu","Elsevier Ltd",00076813,,BHORA,Article,Scopus,2-s2.0-85021347854
"Liao S.-H., Hu D.-C., Ding L.-W.","7401923068;35490527000;57194567992;","Assessing the influence of supply chain collaboration value innovation, supply chain capability and competitive advantage in Taiwan's networking communication industry",2017,"International Journal of Production Economics",110,"10.1016/j.ijpe.2017.06.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020892843&doi=10.1016%2fj.ijpe.2017.06.001&partnerID=40&md5=dc46781e0564dca3ae34a259b585a46c","Department of Management Sciences, Tamkang University, No. 151, Yingjuan Rd., Danshuei Dist, New Taipei City, 251, Taiwan","Liao, S.-H., Department of Management Sciences, Tamkang University, No. 151, Yingjuan Rd., Danshuei Dist, New Taipei City, 251, Taiwan; Hu, D.-C., Department of Management Sciences, Tamkang University, No. 151, Yingjuan Rd., Danshuei Dist, New Taipei City, 251, Taiwan; Ding, L.-W., Department of Management Sciences, Tamkang University, No. 151, Yingjuan Rd., Danshuei Dist, New Taipei City, 251, Taiwan","Taiwan's networking communication industry has had a clustering scale and a good position for collaboration in the global networking communication manufacturing network. This study considers whether Taiwan's networking communication industry can enhance its competitive advantage through supply chain management activities. In order to examine the relationships of supply chain collaboration value innovation, supply chain capability and competitive advantage, this research selects 74 firms and 465 questionnaires from the upstream, middle and downstream manufactures of Taiwan networking communication industry for research subjects, and uses structural equation modeling (SEM) to verify the theoretical model. Results show that the relationships among supply chain collaboration value innovation, supply chain capacity and competitive advantage can have a positive impact, and that supply chain capability is a full mediator. Moreover, supply chain echelons (upper, middle and downstream) have some moderating effects in these relationships. © 2017 Elsevier B.V.","Competitive advantage; Mediating effect; Structural equation modeling; Supply chain capability; Supply chain collaboration value innovation","Supply chain management; Surveys; Value engineering; Communication industry; Competitive advantage; Manufacturing networks; Mediating effect; Structural equation modeling; Supply chain collaboration; Theoretical modeling; Value innovations; Competition",,"Liao, S.-H.; Department of Management Sciences, No. 151, Yingjuan Rd., Danshuei Dist, Taiwan; email: michael@mail.tku.edu.tw","Elsevier B.V.",09255273,,IJPCE,Article,Scopus,2-s2.0-85020892843
"Altekin F.T., Ayll E., Şahin G.","6507220456;57195364176;24341791200;","After-sales services network design of a household appliances manufacturer",2017,"Journal of the Operational Research Society",8,"10.1057/s41274-016-0142-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020717029&doi=10.1057%2fs41274-016-0142-y&partnerID=40&md5=b9734030e7699143f25fb92b29989f51","School of Management, Sabancl University, Orhanll, Tuzla, Istanbul, 34956, Turkey; Industrial Engineering, Faculty of Engineering and Natural Sciences, Sabancl University, Orhanll, Tuzla, Istanbul, 34956, Turkey","Altekin, F.T., School of Management, Sabancl University, Orhanll, Tuzla, Istanbul, 34956, Turkey; Ayll, E., Industrial Engineering, Faculty of Engineering and Natural Sciences, Sabancl University, Orhanll, Tuzla, Istanbul, 34956, Turkey; Şahin, G., Industrial Engineering, Faculty of Engineering and Natural Sciences, Sabancl University, Orhanll, Tuzla, Istanbul, 34956, Turkey","After-sales services have become high-margin businesses that account for larger portions of corporate profits. Delivering the after-sales services is challenging as after-sales services supply chains are significantly different than production-distribution supply chains. The literature provides little guidance on the use of quantitative methods for after-sales services network design. We present a mixed integer linear programming problem formulation to determine warehouse locations, assign repair vendors to facilities and choose mode of transportation while minimizing the total network cost. We transform the large-scale real-life problem of a household appliances manufacturer into a smaller scale to solve optimally in reasonable time. Through a scenario-based approach, we evaluate different configurations of a decentralized network with choices of transportation mode. We test the sensitivity of the solutions. The total cost decreases with additional choices of transportation mode and only slightly increases with the next-day delivery policy while the network solution may change significantly. © 2016 The Operational Research Society.","after-sales services; household appliances; location; logistics; network design; supply chain configuration","Domestic appliances; Integer programming; Location; Logistics; Manufacture; Supply chains; After-sales services; Decentralized networks; Household appliances manufacturer; Mixed integer linear programming problems; Network design; Production distribution; Supply chain configuration; Transportation mode; Sales",,"Altekin, F.T.; School of Management, Orhanll, Turkey; email: altekin@sabanciuniv.edu","Palgrave Macmillan Ltd.",01605682,,JORSD,Article,Scopus,2-s2.0-85020717029
"Rong Y., Atan Z., Snyder L.V.","21735579000;56512196000;8845891200;","Heuristics for Base-Stock Levels in Multi-Echelon Distribution Networks",2017,"Production and Operations Management",6,"10.1111/poms.12717","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020382074&doi=10.1111%2fpoms.12717&partnerID=40&md5=18d1bbbe5b32a936752a91dde65fe179","Antai College of Economics and Management, Shanghai Jiao Tong University, 1954 Huashan Road, Shanghai, 200030, China; Department of Industrial Engineering and Innovation Sciences, Eindhoven University of Technology, P.O. Box 513 MB, Eindhoven, Pav.E8 NL-5600, Netherlands; Department of Industrial and Systems Engineering, Lehigh University Harold S. Mohler Laboratory, 200 West Packer Avenue, Bethlehem, PA  18015-1582, United States","Rong, Y., Antai College of Economics and Management, Shanghai Jiao Tong University, 1954 Huashan Road, Shanghai, 200030, China; Atan, Z., Department of Industrial Engineering and Innovation Sciences, Eindhoven University of Technology, P.O. Box 513 MB, Eindhoven, Pav.E8 NL-5600, Netherlands; Snyder, L.V., Department of Industrial and Systems Engineering, Lehigh University Harold S. Mohler Laboratory, 200 West Packer Avenue, Bethlehem, PA  18015-1582, United States","We study inventory optimization for locally controlled, continuous-review distribution systems with stochastic customer demands. Each node follows a base-stock policy and a first-come, first-served allocation policy. We develop two heuristics, the recursive optimization (RO) heuristic and the decomposition-aggregation (DA) heuristic, to approximate the optimal base-stock levels of all the locations in the system. The RO heuristic applies a bottom-up approach that sequentially solves single-variable, convex problems for each location. The DA heuristic decomposes the distribution system into multiple serial systems, solves for the base-stock levels of these systems using the newsvendor heuristic of Shang and Song (2003), and then aggregates the serial systems back into the distribution system using a procedure we call “backorder matching.” A key advantage of the DA heuristic is that it does not require any evaluation of the cost function (a computationally costly operation that requires numerical convolution). We show that, for both RO and DA, changing some of the parameters, such as leadtime, unit backordering cost, and demand rate, of a location has an impact only on its own local base-stock level and its upstream locations’ local base-stock levels. An extensive numerical study shows that both heuristics perform well, with the RO heuristic providing more accurate results and the DA heuristic consuming less computation time. We show that both RO and DA are asymptotically optimal along multiple dimensions for two-echelon distribution systems. Finally, we show that, with minor changes, both RO and DA are applicable to the balanced allocation policy. © 2017 Production and Operations Management Society","asymptotic analysis; distribution network; heuristics; inventory; multi-echelon supply chain",,"NSF: CMMI-0726822; NSFC: 71202068, 71421002, 71522009, 71632007",,"Wiley-Blackwell",10591478,,,Article,Scopus,2-s2.0-85020382074
